Last Name,First Name,Composition Title,File Name
Jaëll,Marie,Impromptu - Marie Jaëll,Jaell-Impromptu.pdf
Jessye,Eva,Aint Got Long to Stay Heah - Eva Jessye,Jessye-Aint-Got-Long-.pdf
Jessye,Eva,I'm a Po' Lil' Orphan - Eva Jessye,Jessye-Im-a-po-lil-orphan.pdf
Jessye,Eva,John Saw De Holy Number - Eva Jessye,Jessye-John-Saw-Holy-Numbah.pdf
Jessye,Eva,March Down to Jerdon - Eva Jessye,Jessye-March-Down-to-Jerdon.pdf
Jessye,Eva,When Moses Smote de Water - Eva Jessye,Jessye-Moses.pdf
Jessye,Eva,So I Can Write My Name - Eva Jessye,Jessye-So-I-Can-Write-My-Name.pdf
Jessye,Eva,Stan' Steady - Eva Jessye,Jessye-Stan-Steady.pdf
Kapili,,Ainahau - Likelike,Likelike-Ainahau.pdf
Kapili,,Maika'i Waipi'o - Likelike,Likelike-Maikai-Waipio.pdf
Lang,Josephine,Arabesque - Josephine Lang,Lang-Arabesque-complete.pdf
Le Beau,Luise Adolpha,"Romanze, Op.35 mm.1-20 - Luise Adolpha Le Beau",LeBeau-Romanze-1-20.pdf
Le Beau,Luise Adolpha,"Romanze, Op.35 mm.12-20 - Luise Adolpha Le Beau",LeBeau-Romanze-12-20.pdf
Leonarda,Isabella,"Iam diu dilecte mi Jesus, Op.20 No.1 (1700) - Isabella Leonarda",Leonarda_Mottetto_Iam_diu_dilecte.pdf
Lili'uokalani,,He Mele Lahui Hawaii (band arr.) - Lili'uokalani,he-mele-lahui-hawaii-march.pdf
Lili'uokalani,,Aloha Oe - Lili'uokalani,Liliuokalani-Aloha-Oe.pdf
Lili'uokalani,,He Mele Lahui Hawaii (SATB) - Lili'uokalani,Liliuokalani-He-Mele-Lahui-Hawaii-.pdf
Lili'uokalani,,He Mele Lahui Hawaii (SATB 1872 publication) - Lili'uokalani,Liliuokalani-He-Mele-Lahui-Hawaii-1872ed.pdf
Martines,Marianne,Sonata in E - Marianne Martines,MM-sonata-E-opening-through-23.pdf
Martines,Marianne,"Sonata in G, selections - Marianne Martines",MM-Sonata-sequences.pdf
Mayer,Emilie,"Faust Overture Op.45, mm.5-13 - Emilie Mayer",Mayer-Faust-Overture-Op46-mm5-13.pdf
