File Name,Composition Title
Mayer-Faust-sentence-mm45.pdf,"Faust Overture Op.45, mm.43-48 - Emilie Mayer"
Mayer-Notturno-Op48-complete.pdf,Notturno - Emilia Mayer
Mayer-Notturno-Op48-mm1-8.pdf,"Notturno, Op.48 mm.1-8 - Emilie Mayer"
Mayer-Sym5-Mvt2-mm1-22.pdf,"Symphony No.5 Mvt.2, mm.1-22 - Emilie Mayer"
Mayer-Sym5-Mvt2-mm1-8.pdf,"Symphony No.5 Mvt.2, mm.1-8 - Emilie Mayer"
Mendelssohn-Dost-Thou-Hear-the-Trees-that-Rustle.pdf,Dost Thou Hear the Trees that Rustle - Fanny Mendelssohn Hensel
Mendelssohn-Du-Bist-Die-Ruh.pdf,Du Bist Die Ruh - Fanny Mendelssohn Hensel
Mendelssohn-Hensel-Ferne.pdf,"Ferne, Op.9 No.2, complete - Fanny Mendelssohn Hensel"
Mendelssohn-Hensel-Mainacht.pdf,"Die Mainacht, Op.9 No.6, complete - Fanny Mendelssohn Hensel"
Mendelssohn-Hensel-Op4-No1.pdf,"Mélodies pour le Piano, Op.4 No.1, complete - Fanny Mendelssohn Hensel"
Mendelssohn-Hensel-Op4-no2.pdf,"Mélodies pour le Piano, Op.4 No.2, complete - Fanny Mendelssohn Hensel"
Mendelssohn-Hensel-Op4-no3.pdf,"Mélodies pour le Piano, Op.4 No.3, complete - Fanny Mendelssohn Hensel"
Mendelssohn-Horst-du-nicht-die-baume-rauschen.pdf,Hörst du nicht die Bäume rauschen (Lockung) - Fanny Mendelssohn Hensel
Mendelssohn-Marz-mm5-9.pdf,"März, mm.5-9 from Das Jahr - Fanny Mendelssohn-Hensel"
Mendelssohn-string-quartet-mvt-2-aug-6.pdf,"String Quartet in E-flat Major, mvt.II, mm. 30-41 - Fanny Mendelssohn Hensel"
MM-sonata-E-opening-through-23.pdf,Sonata in E - Marianne Martines
MM-Sonata-sequences.pdf,"Sonata in G, selections - Marianne Martines"
Morgenlied-Westenholz.pdf,"Morgenlied from 12 Deutsche Lieder, Op.4 - Sophia Maria Westenholz"
Poldowski-Cythere.pdf,Cythère - Poldowski
Poldowski-Effet-de-Neige-mm10-18.pdf,Effet de Neige mm.10-18 - Poldowski
Poldowski-Effet-de-Neige.pdf,Effet de Neige - Poldowski
